"year";"month";"day";"hour MEZ";"min";"dewpoint temperature (degree C)";"air temperature (degree C)";"relative humidity (%)";"global radiation (W m^(-2))";"wind speed (km/h)";"wind direction (degree)";"wind speed - gust (km/h)";"precipitation (10^(-1) mm)";"air pressure (hPa)"
2005;4;3;08;45;-0,5;9,1;51,2;507,1;5,9;141,5;-6999;0,0;999,0
2005;4;3;09;00;-0,6;10,3;46,8;551,1;9,2;167,1;-6999;0,0;999,0
2005;4;3;09;15;-0,6;11,3;43,8;585,4;8,5;158,8;-6999;0,0;999,0
2005;4;3;09;30;-0,5;11,7;42,8;611,6;9,1;155,5;-6999;0,0;999,0
2005;4;3;09;45;-1,9;12,2;37,4;649,2;14,1;166,5;-6999;0,0;999,0
2005;4;3;10;00;-2,7;12,4;34,9;682,3;17,5;157,9;-6999;0,0;999,0
2005;4;3;10;15;-2,7;13,0;33,5;698,4;12,6;160,4;-6999;0,0;999,0
2005;4;3;10;30;-3,5;13,1;31,4;728,0;14,2;154,4;-6999;0,0;999,0
2005;4;3;10;45;-4,2;13,3;29,4;747,0;13,1;155,9;-6999;0,0;999,0
2005;4;3;11;00;-3,6;13,6;30,2;757,0;12,5;142,9;-6999;0,0;999,0
2005;4;3;11;15;-2,4;13,6;33,0;762,0;12,3;150,7;-6999;0,0;999,0
2005;4;3;11;30;-1,4;13,7;35,1;750,0;13,3;144,1;-6999;0,0;999,0
2005;4;3;11;45;-1,4;14,0;34,6;763,0;12,9;144,2;-6999;0,0;998,0
2005;4;3;12;00;-2,1;14,1;32,5;787,0;15,6;152,0;-6999;0,0;998,0
2005;4;3;12;15;-2,0;14,5;32,0;790,0;13,4;147,0;-6999;0,0;998,0
2005;4;3;12;30;-2,3;14,6;31,1;776,0;13,1;147,8;-6999;0,0;998,0
2005;4;3;12;45;-2,4;14,8;30,4;777,0;12,6;141,5;-6999;0,0;998,0
2005;4;3;13;00;-2,4;14,7;30,6;769,0;12,8;143,7;-6999;0,0;998,0
2005;4;3;13;15;-2,4;15,3;29,5;761,0;11,0;142,6;-6999;0,0;998,0
2005;4;3;13;30;-2,6;15,0;29,7;736,0;13,9;123,9;-6999;0,0;998,0
2005;4;3;13;45;-3,0;15,1;28,5;716,0;12,5;135,7;-6999;0,0;998,0
2005;4;3;14;00;-3,2;15,1;28,1;697,3;12,6;137,8;-6999;0,0;998,0
2005;4;3;14;15;-2,6;15,3;29,0;669,9;12,3;131,5;-6999;0,0;998,0
2005;4;3;14;30;-2,9;15,5;28,1;640,1;12,4;138,3;-6999;0,0;998,0
2005;4;3;14;45;-2,7;15,4;28,7;625,7;11,4;131,9;-6999;0,0;998,0
2005;4;3;15;00;-2,7;15,6;28,4;568,2;10,7;145,3;-6999;0,0;997,0
2005;4;3;15;15;-3,1;15,6;27,5;535,6;12,2;129,8;-6999;0,0;997,0
2005;4;3;15;30;-3,4;15,5;27,1;495,6;11,2;138,8;-6999;0,0;997,0
2005;4;3;15;45;-3,5;15,5;26,8;453,0;11,0;140,4;-6999;0,0;997,0
2005;4;3;16;00;-3,8;15,3;26,5;413,2;11,7;133,8;-6999;0,0;997,0
2005;4;3;16;15;-3,5;15,3;27,1;367,4;10,9;126,4;-6999;0,0;997,0
2005;4;3;16;30;-3,7;15,2;27,0;318,7;10,0;134,5;-6999;0,0;997,0
2005;4;3;16;45;-3,4;15,2;27,5;275,3;9,2;142,0;-6999;0,0;997,0
2005;4;3;17;00;-2,8;15,0;29,1;229,6;10,8;135,5;-6999;0,0;997,0
2005;4;3;17;15;-2,1;14,7;31,3;182,1;10,4;130,1;-6999;0,0;997,0
2005;4;3;17;30;-1,9;14,6;32,0;137,6;11,2;138,3;-6999;0,0;997,0
2005;4;3;17;45;-2,0;14,4;32,3;94,3;9,9;140,6;-6999;0,0;997,0
2005;4;3;18;00;-2,1;14,1;32,6;55,6;8,0;137,6;-6999;0,0;997,0
2005;4;3;18;15;-2,1;13,9;33,0;22,5;8,9;136,6;-6999;0,0;997,0
